Date,Industry_01,Industry_02,Industry_03,Industry_04,Industry_05,Industry_06,Industry_07,Industry_08,Industry_09,Industry_10,Industry_11,Industry_12,Industry_13,Industry_14,Industry_15,Industry_16,Industry_17,Industry_18,Industry_19,Industry_20,Industry_21,Industry_22,Industry_23,Industry_24,Industry_25,Industry_26,Industry_27,Industry_28,Industry_29,Industry_30,Mkt_RF,Term_Spread,VIX
1990-01-31,-0.47,0.48,-2.56,1.73,-0.43,0.14,1.97,-2.08,2.57,1.98,3.94,3.32,5.15,1.76,6.12,4.43,-0.42,7.21,3.09,0.21,-0.26,4.46,3.53,1.88,5.76,2.33,2.09,0.45,2.28,1.39,1.12,0.689999999999999,23.3472727272727
1990-02-28,5.27,6.22,6.85,1.68,-0.46,4.15,7.54,3.8,1.43,2.31,3.65,6.29,3.7,4.12,3.56,8.28,-5.6,5.57,-0.62,-0.75,4.22,5.58,4.1,2.33,2.85,3.38,6.06,-0.32,-1.6,4.79,1.83,0.74,23.2626315789473
1990-03-31,-0.23,2.32,4.77,0.44,-6.27,-1.9,-1.13,0.34,-3.45,-2.59,-3.57,-7.02,-2.46,-0.72,-4.53,-5.55,-8.84,-9.11,-3.54,-5.52,-3.29,-2.76,-1.46,-2.74,-3.98,-2.19,-1.68,-5.32,-4.19,1.34,-3.36,0.85,20.0622727272727
1990-04-30,8.82,15.92,1.12,13.22,9.84,9.85,7.72,12.81,7.38,4.16,9.89,7.38,6.06,9.96,8.05,10.66,7.74,13.18,6.01,5.43,9.2,12.14,11.64,5.92,4.6,9.0,11.88,13.06,9.26,10.6,8.43,1.24999999999999,21.4035
1990-05-31,2.35,1.02,9.15,-3.87,-1.2,2.01,-2.13,4.42,-2.26,-4.86,-3.03,-1.46,-1.97,0.02,-2.93,0.35,-5.8,-6.66,-2.02,0.75,-4.74,2.64,-2.0,-0.12,-1.59,0.27,1.69,1.16,-1.89,1.43,-1.09,0.849999999999999,18.0977272727272
1990-06-30,0.6,0.01,5.64,-7.84,-5.53,-1.83,-4.97,2.67,0.87,-1.2,2.21,5.71,-1.87,1.54,-2.7,-2.72,10.55,-0.9,8.37,0.9,-4.42,-8.36,-6.52,1.35,-2.48,-4.14,-3.71,-7.33,-4.72,-2.62,-1.9,0.689999999999999,16.8223809523809
1990-07-31,-7.16,-4.9,-3.06,-15.3,-9.42,-9.06,-16.66,-6.65,-12.9,-14.03,-12.46,-10.22,-13.16,-13.47,-14.58,-13.27,-6.7,-11.02,-1.24,-6.64,-10.38,-10.24,-12.22,-11.04,-12.87,-9.7,-12.68,-12.49,-10.99,-10.91,-10.12,0.869999999999999,18.3928571428571
1990-08-31,-1.56,-6.66,0.93,-3.94,-6.38,-7.47,-12.94,-4.32,-6.65,-17.04,-8.87,-6.14,-9.93,-10.1,-11.07,-10.12,-1.74,3.44,-1.65,0.48,1.82,-7.96,-6.16,-7.25,-7.75,-5.21,-9.36,-12.43,-11.42,-8.53,-6.11,1.46999999999999,28.1752173913043
1990-09-30,3.13,7.51,6.44,-1.37,-3.84,1.99,-7.19,1.46,0.56,-10.99,-6.85,-11.42,-10.28,-3.02,-2.72,2.89,-16.79,-9.5,-3.94,7.22,3.02,-2.13,-3.82,-0.15,-2.52,-3.6,-3.04,-3.67,-7.16,-2.95,-1.92,1.68,29.1073684210526
1990-10-31,5.39,5.26,7.97,12.22,10.44,7.56,15.51,9.68,10.1,8.51,8.52,2.93,9.01,6.38,2.95,2.19,-1.96,-4.43,1.64,2.31,2.12,10.37,10.47,6.81,5.4,6.17,11.75,8.53,14.29,2.1,6.35,1.54,29.625652173913
